Title,Author,Average Goodreads Rating,Number of Pages
The Coven,Lizzie Fry,3.45,448
People of Abandoned Character,Clare Whitfield,3.83,421
Ark,Veronica Roth,3.56,33
The Pisces,Melissa Broder,3.27,270
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.63,498
Queenie,Candice Carty-Williams,3.88,330
Mexican Gothic,Silvia Moreno-Garcia,3.68,301
Maggie Finds Her Muse,Dee Ernst,3.72,304
Little Pieces of Me,Alison Hammer,3.92,400
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.35,384
The Song of Achilles,Madeline Miller,4.40,378
The Babysitter: My Summers with a Serial Killer,Liza Rodman,3.65,352
The Odyssey,Lara    Williams,3.33,240
The It Girl,Ruth Ware,4.02,432
"Devil's Knot: The True Story of the West Memphis Three (Justice Knot, #1)",Mara Leveritt,4.14,419
Daisy Darker,Alice Feeney,4.12,352
Things We Do in the Dark,Jennifer Hillier,4.22,352
Life Ceremony,Sayaka Murata,3.76,256
Code Blue: A Katrina Physician's Memoir,Richard E. Deichmann,4.03,168
"The Icepick Surgeon: Murder, Fraud, Sabotage, Piracy, and Other Dastardly Deeds Perpetrated in the Name of Science",Sam Kean,4.00,368
Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,3.97,291
Putin's Wars: The Rise of Russia's New Imperialism,Marcel H. Van Herpen,3.87,296
Hooked: How to Build Habit-Forming Products,Nir   Eyal,4.09,256
Small Pleasures,Clare Chambers,3.86,352
The Search for Mother Missing: A Peek Inside International Adoption,Janine Vance,4.46,182
The Legacy Journey: A Radical View of Biblical Wealth and Generosity,Dave Ramsey,4.34,256
Pandora's Lab: Seven Stories of Science Gone Wrong,Paul A. Offit,4.17,288
Either/Or,Elif Batuman,4.34,368
"Delilah Green Doesn't Care (Bright Falls, #1)",Ashley Herring Blake,4.26,384
She Gets the Girl,Rachael Lippincott,4.26,384
Family Annihilator,Calvin Westra,4.56,126
The Birthday Girl,Melissa de la Cruz,3.44,352
The Vegetarian,Han Kang,3.60,188
Man of the Year,Caroline Louise Walker,3.64,256
The Best Lies,Sarah Lyu,3.69,352
Strange Weather in Tokyo,Hiromi Kawakami,3.75,176
22 Minutes of Unconditional Love,Daphne Merkin,2.76,256
Sweet Bean Paste,Durian Sukegawa,4.07,213
Ugly Love,Colleen Hoover,4.25,337
November 9,Colleen Hoover,4.33,310
Verity,Colleen Hoover,4.43,336
Bunny,Mona Awad,3.57,307
In Watermelon Sugar,Richard Brautigan,3.83,144
Conversations with Friends,Sally Rooney,3.83,304
Notes on Camp,Susan Sontag,3.96,55
"Drug Dealer, MD: How Doctors Were Duped, Patients Got Hooked, and Why It's So Hard to Stop",Anna Lembke,4.03,192
Love Is a Dog from Hell,Charles Bukowski,4.05,312
Boy Parts,Eliza  Clark,4.03,304
The Bell Jar,Sylvia Plath,4.03,294
Just Kids,Patti Smith,4.18,304
Dreamland: The True Tale of America's Opiate Epidemic,Sam Quinones,4.24,384
"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,4.10,319
Hummingbird Salamander,Jeff VanderMeer,3.29,351
One Last Stop,Casey McQuiston,4.04,418
The New Girl,Jesse Q. Sutanto,3.41,368
Hex,Jenni Fagan,4.15,112
I Kissed Shara Wheeler,Casey McQuiston,4.24,356
Lapvona,Ottessa Moshfegh,4.04,313
The House Across the Lake,Riley Sager,3.64,368
"The Good Nurse: A True Story of Medicine, Madness, and Murder",Charles Graeber,3.81,307
Lost Girls: An Unsolved American Mystery,Robert Kolker,3.60,399
"Start: Punch Fear in the Face, Escape Average and Do Work that Matters",Jon Acuff,3.95,288
Contagious: Why Things Catch On,Jonah Berger,3.97,210
Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital,Sheri  Fink,3.91,558
Detroit: An American Autopsy,Charlie LeDuff,3.94,304
Bad Pharma: How Drug Companies Mislead Doctors and Harm Patients,Ben Goldacre,4.10,448
Gulp: Adventures on the Alimentary Canal,Mary Roach,3.92,348
The Astronaut Wives Club,Lily Koppel,3.32,272
Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan,3.84,296
The Skies Belong to Us: Love and Terror in the Golden Age of Hijacking,Brendan I. Koerner,4.02,318
The Unwinding: An Inner History of the New America,George Packer,4.13,448
Manson: The Life and Times of Charles Manson,Jeff Guinn,3.90,495
Eighty Days: Nellie Bly and Elizabeth Bisland's History-Making Race Around the World,Matthew Goodman,3.72,453
"One Summer: America, 1927",Bill Bryson,4.08,456
Chanel Bonfire,Wendy Lawless,3.73,304
Mo' Meta Blues: The World According to Questlove,"Ahmir ""Questlove"" Thompson",4.11,288
Wave,Sonali Deraniyagala,3.76,274
Waiting to Be Heard: A Memoir,Amanda Knox,3.85,463
Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape,Jenna Miscavige Hill,3.74,402
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.06,224
American Elsewhere,Robert Jackson Bennett,3.78,662
"Extinction Machine (Joe Ledger, #5)",Jonathan Maberry,4.27,433
The Resurrectionist: The Lost Work of Dr. Spencer Black,E.B. Hudspeth,3.58,208
"Parasite (Parasitology, #1)",Mira Grant,3.67,504
"Losing Hope (Hopeless, #2)",Colleen Hoover,4.31,321
Terms of Enlistment,Marko Kloos,4.03,282
The Best of All Possible Worlds,Karen Lord,3.60,308
"The Lives of Tao (Tao, #1)",Wesley Chu,3.74,460
"Countdown City (The Last Policeman, #2)",Ben H. Winters,3.85,316
"MaddAddam (MaddAddam, #3)",Margaret Atwood,4.00,394
"The Bone Season (The Bone Season, #1)",Samantha Shannon,3.79,466
"Seduction (Reincarnationist, #5)",M.J. Rose,3.78,373
The Thinking Woman's Guide to Real Magic,Emily Croy Barker,3.55,563
"Vicious (Villains, #1)",V.E. Schwab,4.23,368
The River of No Return,Bee Ridgway,3.68,452
The Ocean at the End of the Lane,Neil Gaiman,4.01,181
Songs of Willow Frost,Jamie Ford,3.66,319
Paris,Edward Rutherfurd,4.02,809
TransAtlantic,Colum McCann,3.82,304
Whistling Past the Graveyard,Susan Crandall,4.07,307
A Hundred Summers,Beatriz Williams,3.95,357
The Perfume Collector,Kathleen Tessaro,3.99,464
The Luminaries,Eleanor Catton,3.73,848
The Painted Girls,Cathy Marie Buchanan,3.61,357
The Aviator's Wife,Melanie Benjamin,3.90,416
Z: A Novel of Zelda Fitzgerald,Therese Anne Fowler,3.86,375
"Life After Life (Todd Family, #1)",Kate Atkinson,3.77,531
The Silent Wife,A.S.A. Harrison,3.31,326
The Shining Girls,Lauren Beukes,3.55,368
"Threat Vector (Jack Ryan Universe, #15)",Tom Clancy,4.17,835
Six Years,Harlan Coben,3.83,351
"Police (Harry Hole, #10)",Jo Nesbø,4.22,436
Reconstructing Amelia,Kimberly McCreight,3.83,382
"Speaking from Among the Bones (Flavia de Luce, #5)",Alan Bradley,4.15,378
Night Film,Marisha Pessl,3.78,598
"Calculated in Death (In Death, #36)",J.D. Robb,4.28,386
"How the Light Gets In (Chief Inspector Armand Gamache, #9)",Louise Penny,4.44,405
Joyland,Stephen King,3.93,283
"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.87,456
"Inferno (Robert Langdon, #4)",Dan Brown,3.87,463
The Woman Upstairs,Claire Messud,3.31,253
The Interestings,Meg Wolitzer,3.58,468
Americanah,Chimamanda Ngozi Adichie,4.31,477
Tenth of December,George Saunders,3.97,251
A Tale for the Time Being,Ruth Ozeki,4.03,432
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4.02,295
Orphan Train,Christina Baker Kline,4.18,278
The Husband's Secret,Liane Moriarty,3.95,396
The Goldfinch,Donna Tartt,3.93,771
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,369
The Storyteller,Jodi Picoult,4.27,461
I Kill Me: Tales of A Jilted Hypochondriac,Tracy H. Tucker,3.52,256
Fifty Shames of Earl Grey,Fanny Merkin,3.31,224
How to Tell If Your Cat Is Plotting to Kill You,Matthew Inman,3.91,131
How to Be Black,Baratunde R. Thurston,3.87,254
I Suck at Girls,Justin Halpern,3.78,131
"Where'd You Go, Bernadette",Maria Semple,3.88,330
How to Be a Woman,Caitlin Moran,3.72,305
I am a Pole (And So Can You!),Stephen Colbert,3.80,32
Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,3.89,318
Green Illusions,Ozzie Zehner,3.97,456
Twilight of the Elites: America After Meritocracy,Christopher L. Hayes,4.00,304
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,4.07,529
Free Will,Sam Harris,3.87,96
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.12,375
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.07,333
Cronkite,Douglas Brinkley,3.99,832
The Man Who Quit Money,Mark Sundeen,3.74,260
Midnight in Peking: How the Murder of a Young Englishwoman Haunted the Last Days of Old China,Paul   French,3.84,260
The Passage of Power,Robert A. Caro,4.32,712
The Woman Who Wasn't There: The True Story of an Incredible Deception,Robin Gaby Fisher,3.76,291
Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,3.98,205
Killing Kennedy: The End of Camelot (The Killing of Historical Figures),Bill O'Reilly,4.07,325
Drift: The Unmooring of American Military Power,Rachel Maddow,4.06,275
Elizabeth the Queen: The Life of a Modern Monarch,Sally Bedell Smith,3.86,663
My Cross to Bear,Gregg Allman,3.86,400
"When We Were the Kennedys: A Memoir from Mexico, Maine",Monica Wood,3.87,256
Waging Heavy Peace: A Hippie Dream,Neil Young,3.59,512
Revolution 2:0: A Memoir and Call to Action,Wael Ghonim,3.92,256
Mrs. Kennedy and Me: An Intimate Memoir,Clint Hill,4.21,343
The End of Your Life Book Club,Will Schwalbe,3.80,336
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.03,315
Breed,Chase Novak,3.16,310
Nocturnal,Scott Sigler,4.05,566
"Blackout (Newsflesh, #3)",Mira Grant,4.09,512
"Odd Apocalypse (Odd Thomas, #5)",Dean Koontz,3.97,464
"The Twelve (The Passage, #2)",Justin Cronin,4.01,568
"Seduction and Snacks (Chocolate Lovers, #1)",Tara Sivec,4.07,286
2312,Kim Stanley Robinson,3.50,561
Angelmaker,Nick Harkaway,3.93,478
"Shadows in Flight (The Shadow Series, #5)",Orson Scott Card,3.81,237
Redshirts,John Scalzi,3.85,320
"Wool Omnibus (Silo, #1)",Hugh Howey,4.21,509
"The Long Earth (The Long Earth, #1)",Terry Pratchett,3.77,336
"Wicked Business (Lizzy & Diesel, #2)",Janet Evanovich,3.81,299
"Shadow of Night (All Souls, #2)",Deborah Harkness,4.06,584
"Percepliquis (The Riyria Revelations, #6)",Michael J. Sullivan,4.56,620
Alif the Unseen,G. Willow Wilson,3.84,433
"The Killing Moon (Dreamblood, #1)",N.K. Jemisin,3.94,418
"The First Confessor (The Legend of Magda Searus, #1)",Terry Goodkind,4.19,481
"The Woman Who Died A Lot (Thursday Next, #7)",Jasper Fforde,4.07,366
The Orchardist,Amanda Coplin,3.79,426
The Second Empress: A Novel of Napoleon's Court,Michelle Moran,3.85,312
The Dressmaker,Kate Alcott,3.49,306
"The Gods of Gotham (Timothy Wilde, #1)",Lyndsay Faye,3.87,408
The Baker's Daughter,Sarah McCoy,3.96,304
Half-Blood Blues,Esi Edugyan,3.69,321
The Secret Keeper,Kate Morton,4.14,484
"Bring Up the Bodies (Thomas Cromwell, #2)",Hilary Mantel,4.25,412
The Light Between Oceans,M.L. Stedman,4.03,362
"Broken Harbor (Dublin Murder Squad, #4)",Tana French,3.94,450
"Bloodline (Sigma Force, #8)",James Rollins,4.23,447
Gone Girl,Gillian Flynn,4.11,419
Telegraph Avenue,Michael Chabon,3.39,465
Billy Lynn's Long Halftime Walk,Ben Fountain,3.79,307
The Dog Stars,Peter Heller,3.94,336
Memoirs of an Imaginary Friend,Matthew Dicks,4.13,311
Tell the Wolves I'm Home,Carol Rifka Brunt,4.03,360
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,3.73,288
This Is How You Lose Her,Junot Díaz,3.75,217
The Age of Miracles,Karen Thompson Walker,3.66,272
The Casual Vacancy,J.K. Rowling,3.30,503
Crazy River: Exploration and Folly in East Africa,Richard Grant,4.07,323
"Big in China: My Unlikely Adventures Raising a Family, Playing the Blues, and Becoming a Star in Beijing",Alan Paul,3.69,272
"Kosher Chinese: Living, Teaching, and Eating with China's Other Billion",Michael     Levy,3.85,256
Sideways on a Scooter: Life and Love in India,Miranda Kennedy,3.64,352
The Foremost Good Fortune,Susan    Conley,3.65,288
You've Gone Too Far This Time,Danny Bent,3.74,240
The Memory Palace,Mira Bartok,3.51,320
Tolstoy and the Purple Chair: My Year of Magical Reading,Nina Sankovitch,3.52,241
My Lucky Life in and Out of Show Business,Dick Van Dyke,3.82,287
Stories I Only Tell My Friends,Rob Lowe,3.82,320
A Stolen Life,Jaycee Dugard,3.91,273
The Man in the Rockefeller Suit: The Astonishing Rise and Spectacular Fall of a Serial Impostor,Mark Seal,3.84,323
1861: The Civil War Awakening,Adam Goodheart,4.05,481
Malcolm X: A Life of Reinvention,Manning Marable,4.15,608
Area 51: An Uncensored History of America's Top Secret Military Base,Annie Jacobsen,3.80,540
"The Eighty-Dollar Champion: Snowman, the Horse That Inspired a Nation",Elizabeth Letts,4.21,329
Steve Jobs,Walter Isaacson,4.15,630
Incognito: The Secret Lives of the Brain,David Eagleman,4.07,290
The Filter Bubble: What the Internet is Hiding From You,Eli Pariser,3.79,294
Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,Kevin Poulsen,3.96,288
Inside Scientology: The Story of America's Most Secretive Religion,Janet Reitman,3.87,444
Sex on the Moon: The Amazing Story Behind the Most Audacious Heist in History,Ben Mezrich,3.39,320
Boomerang: Travels in the New Third World,Michael   Lewis,3.90,213
"Three Cups of Deceit: How Greg Mortenson, Humanitarian Hero, Lost His Way",Jon Krakauer,3.74,77
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,3.88,307
The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,3.94,288
"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Dan Savage,4.13,338
Cinderella Ate My Daughter: Dispatches from the Frontlines of the New Girlie-Girl Culture,Peggy Orenstein,3.67,245
"The Geeks Shall Inherit the Earth: Popularity, Quirk Theory and Why Outsiders Thrive After High School",Alexandra Robbins,3.60,448
"It's All Relative: Two Families, Three Dogs, 34 Holidays, and 50 Boxes of Wine (A Memoir)",Wade Rouse,3.81,304
2030: The Real Story of What Happens to America,Albert Brooks,3.48,375
Domestic Violets,Matthew Norman,3.86,329
"Damn You, Autocorrect!: Awesomely Embarrassing Text Messages You Didn't Mean to Send",Jillian Madison,4.01,279
It Looked Different on the Model: Epic Tales of Impending Shame and Infamy,Laurie Notaro,3.77,240
"God, No! Signs You May Already Be an Atheist and Other Magical Tales",Penn Jillette,3.66,254
Thank You Notes,Jimmy Fallon,3.80,176
Seriously... I'm Kidding,Ellen DeGeneres,3.69,241
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.86,222
If You Ask Me (And of Course You Won't),Betty White,3.72,258
Bossypants,Tina Fey,3.95,283
"Just Like Heaven (Smythe-Smith Quartet, #1)",Julia Quinn,3.95,374
Hot Head (Head #1),Damon Suede,3.99,320
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,356
"Lover Unleashed (Black Dagger Brotherhood, #9)",J.R. Ward,4.27,512
"Eat Slay Love (Living With the Dead, #3)",Jesse Petersen,4.06,277
"The President's Vampire (Nathaniel Cade, #2)",Christopher Farnsworth,4.01,337
"My Life as a White Trash Zombie (White Trash Zombie, #1)",Diana Rowland,3.94,320
The Night Strangers,Chris Bohjalian,3.18,378
"Dreadfully Ever After (Pride and Prejudice and Zombies, #2)",Steve Hockensmith,3.75,287
"Deadline (Newsflesh, #2)",Mira Grant,4.10,584
"What the Night Knows (What the Night Knows, #1)",Dean Koontz,3.77,442
"Graveminder (Graveminder, #1)",Melissa Marr,3.49,324
Fuzzy Nation (Fuzzy Sapiens #7),John Scalzi,4.12,303
"Aftermath (Sirantha Jax, #5)",Ann Aguirre,4.02,307
"Phoenix Rising (Ministry of Peculiar Occurrences, #1)",Pip Ballantine,3.70,402
Embassytown,China Miéville,3.89,345
Basilisk (The Korsak Brothers #2),Rob Thurman,3.93,352
"Robopocalypse (Robopocalypse, #1)",Daniel H. Wilson,3.70,347
"Silver Shark (Kinsmen, #2)",Ilona Andrews,4.26,129
When She Woke,Hillary Jordan,3.67,344
"Heartless (Parasol Protectorate, #4)",Gail Carriger,4.05,400
"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,3.80,336
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.01,579
Deathless,Catherynne M. Valente,3.98,352
Among Others,Jo Walton,3.70,304
"One of Our Thursdays Is Missing (Thursday Next, #6)",Jasper Fforde,3.97,362
"The Magician King (The Magicians, #2)",Lev Grossman,3.91,548
Don't Breathe a Word,Jennifer  McMahon,3.59,447
"Snuff (Discworld, #39; City Watch #8)",Terry Pratchett,4.15,378
"The Wild Rose (The Tea Rose, #3)",Jennifer Donnelly,4.12,623
22 Britannia Road,Amanda Hodgkinson,3.64,323
The Autobiography of Mrs. Tom Thumb,Melanie Benjamin,3.70,424
Caleb's Crossing,Geraldine Brooks,3.83,306
The Second Duchess,Elizabeth Loupas,3.91,369
"Dreams of Joy (Shanghai Girls, #2)",Lisa See,4.08,354
Madame Tussaud: A Novel of the French Revolution,Michelle Moran,3.95,446
The Sisters Brothers,Patrick deWitt,3.84,328
